county,url,link_text
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=14015,Code of Ordinances
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COORBRAROK,"CODE OF ORDINANCES CITY OF BROKEN ARROW, OKLAHOMA"
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=SUHITA,"SUPPLEMENT HISTORY TABLE




 (This content was modified in this version of the code.)
modified"
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH1GEPR,Chapter 1 - GENERAL PROVISIONS
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH2AD,Chapter 2 - ADMINISTRATION
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH3AIPOCO,Chapter 3 - AIR POLLUTION CONTROL
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH3.5AIHETALA,"Chapter 3.5 - AIRPORTS, HELIPORTS, TAKEOFFS AND LANDINGS"
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH3.7AL,Chapter 3.7 - ALARMS
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH4ALBE,Chapter 4 - ALCOHOLIC BEVERAGES
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH5AN,Chapter 5 - ANIMALS
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH6BUBURE,Chapter 6 - BUILDINGS AND BUILDING REGULATIONS
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH7BURELI,Chapter 7 - BUSINESS REGULATIONS AND LICENSES
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH7.5CACO,Chapter 7.5 - CABLE COMMUNICATIONS
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH7.7CAFI,Chapter 7.7 - CAMPAIGN FINANCING
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH8CE,Chapter 8 - CEMETERIES
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH9CIDEDIRE,Chapter 9 - CIVIL DEFENSE AND DISASTER RELIEF
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH10FIPRPR,Chapter 10 - FIRE PREVENTION AND PROTECTION
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH11FOFOES,Chapter 11 - FOOD AND FOOD ESTABLISHMENTS
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH12GAOTRE,Chapter 12 - GARBAGE AND OTHER REFUSE
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH13GREACH,Chapter 13 - GRADING AND EARTH CHANGES
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH13.1HAMAWA,Chapter 13.1 - HAZARDOUS MATERIALS AND WASTE
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH13.2HURI,Chapter 13.2 - HUMAN RIGHTS
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH14MUCO,Chapter 14 - MUNICIPAL COURT
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH15NU,Chapter 15 - NUISANCES
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH16OFIS,Chapter 16 - OFFENSES—MISCELLANEOUS
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH16.2OIGACO,Chapter 16.2 - OIL AND GAS CODE
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH16.5PARE,Chapter 16.5 - PARKS AND RECREATION
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH17PERE,Chapter 17 - PENSIONS AND RETIREMENT
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH18PO,Chapter 18 - POLICE
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH19RA,Chapter 19 - RAILROADS
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH20RIPRDICO,Chapter 20 - RIOT PREVENTION AND DISASTER CONTROL
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH21STSI,Chapter 21 - STREETS AND SIDEWALKS
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH22TA,Chapter 22 - TAXATION
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH23TR,Chapter 23 - TRAFFIC
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH24WASESEDI,"Chapter 24 - WATER, SEWERS AND SEWAGE DISPOSAL"
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH25STMA,Chapter 25 - STORMWATER MANAGEMENT
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_CH26EMMESEOUFISUPR,Chapter 26 - EMERGENCY MEDICAL SERVICES AND OUTSIDE THE CITY FIRE SUBSCRIPTION PROGRAM
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_APXAZOOR,Appendix A - ZONING ORDINANCE
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_SUPPLEMENT_BNEORSQOVDI,SUPPLEMENT B - NEW ORLEANS SQUARE OVERLAY DISTRICT
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_APXBSURE,Appendix B - SUBDIVISION REGULATIONS
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=COOR_APXCSCSPORNOINCO,Appendix C - SCHEDULES OF SPECIAL ORDINANCES NOT INCLUDED IN CODE
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLE1970CO,CODE COMPARATIVE TABLE - 1970 CODE
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=CD_COMPARATIVE_TABLEOR,"CODE COMPARATIVE TABLE - ORDINANCES




 (This content was modified in this version of the code.)
modified"
Broken Arrow,https://library.municode.com/ok/broken_arrow/codes/code_of_ordinances?nodeId=STLARETA,STATE LAW REFERENCE TABLE
